Data;Descrição;Valor;;Banco;;Tipo de Despesa;;Mês;Ano;Dia;Grupo de Dias;Gasto Excessivo
13/03/2023;Panificadora Nossa Sem;R$ 4,00;ALIMENTACAO;Nubank;Crédito;Variável;Willian;março;2023;segunda-feira;Dias Úteis;Dentro da Média
13/03/2023;Amazonprimebr;R$ 14,90;ASSINATURAS;Nubank;Crédito;Fixa;Willian;março;2023;segunda-feira;Dias Úteis;Dentro da Média
13/03/2023;Ebn*Spotify;R$ 9,90;ASSINATURAS;Nubank;Crédito;Fixa;Mallu;março;2023;segunda-feira;Dias Úteis;Dentro da Média
13/03/2023;fogao 3/8;R$ 100,00;COMPRAS;Bradesco;A vista;Fixa;Mãe;março;2023;segunda-feira;Dias Úteis;Acima da Média
14/03/2023;roupa 5/5;R$ 59,00;MODA;Bradesco;A vista;Fixa;Willian;março;2023;terça-feira;Dias Úteis;Acima da Média
15/03/2023;Ppro *Adobe;R$ 124,00;ASSINATURAS;Nubank;Crédito;Fixa;Mallu;março;2023;quarta-feira;Dias Úteis;Acima da Média
15/03/2023;Roupa niver 02/05;R$ 25,00;MODA;Bradesco;A vista;Fixa;Willian;março;2023;quarta-feira;Dias Úteis;Dentro da Média
23/03/2023;Uber *Uber *Trip;R$ 19,90;TRANSPORTE;Nubank;Crédito;Variável;Willian;março;2023;quinta-feira;Dias Úteis;Dentro da Média
25/03/2023;Uber *Uber *Trip;R$ 13,97;TRANSPORTE;Nubank;Crédito;Variável;Willian;março;2023;sábado;Final de Semana;Dentro da Média
25/03/2023;Uber *Uber *Trip;R$ 11,95;TRANSPORTE;Nubank;Crédito;Variável;Willian;março;2023;sábado;Final de Semana;Dentro da Média
26/03/2023;Ec*Nivel;R$ 14,99;ASSINATURAS;Nubank;Crédito;Fixa;Willian;março;2023;domingo;Final de Semana;Dentro da Média
26/03/2023;Hobby Bichos;R$ 48,35;PET;Nubank;Crédito;Fixa;Willian;março;2023;domingo;Final de Semana;Acima da Média
26/03/2023;Uber *Uber *Trip;R$ 19,95;TRANSPORTE;Nubank;Crédito;Variável;Willian;março;2023;domingo;Final de Semana;Dentro da Média
